model,display_freq,battery,price,ram,size,camera_res
Nokia Model 3219,97,3303,19453,13,5.16,75.3
OnePlus Model 3220,65,3855,24799,7,7.03,103.9
Apple Model 3221,124,5418,31068,16,6.93,96.1
Apple Model 3222,91,5528,31618,3,5.28,54.2
Oppo Model 3223,128,4671,14010,13,5.6,100.7
Xiaomi Model 3224,123,5851,13156,15,5.66,43.3
Apple Model 3225,103,5946,12560,14,6.87,78.8
Oppo Model 3226,93,4571,33254,13,5.08,32.4
Nokia Model 3227,78,4687,20205,5,6.84,72.7
Xiaomi Model 3228,89,3093,22086,8,5.78,20.2
Xiaomi Model 3229,61,5482,39544,15,4.84,56.3
Huawei Model 3230,139,3644,23213,3,6.75,52.7
Asus Model 3231,115,3583,20268,15,4.72,24.0
Realme Model 3232,60,3567,31151,11,4.69,69.3
Asus Model 3233,122,3359,32704,15,5.96,21.3
Xiaomi Model 3234,105,5576,19400,16,5.26,36.0
Nokia Model 3235,79,4964,39857,10,7.09,26.2
Sony Model 3236,133,5585,30421,10,5.98,53.1
Nokia Model 3237,70,5023,20725,12,5.4,106.5
Nokia Model 3238,82,4742,5645,10,6.57,72.2
Oppo Model 3239,98,3703,17330,12,6.27,39.0
OnePlus Model 3240,92,4124,37341,3,6.19,23.1
Motorola Model 3241,74,5401,14810,14,5.04,35.3
Huawei Model 3242,66,3170,19489,13,5.48,18.8
Motorola Model 3243,97,3692,21579,9,5.25,53.6
Apple Model 3244,84,5005,6190,4,4.63,99.9
Motorola Model 3245,99,5753,13150,11,4.7,67.2
Nokia Model 3246,129,4228,23783,3,7.1,19.3
Motorola Model 3247,144,4774,34771,5,4.52,10.8
Sony Model 3248,101,5308,16244,7,5.4,80.1
Motorola Model 3249,138,5986,16379,4,5.91,37.2
Huawei Model 3250,123,4913,10103,11,4.96,75.1
Apple Model 3251,125,5837,19263,5,5.34,30.2
Samsung Model 3252,94,3814,11032,8,5.58,26.1
Motorola Model 3253,68,3909,13033,11,6.24,25.3
Motorola Model 3254,143,4263,37901,4,5.56,24.7
Google Model 3255,120,4350,33789,10,5.97,27.1
Nokia Model 3256,123,4703,24058,8,4.66,85.7
Google Model 3257,127,4923,23887,12,5.33,98.9
OnePlus Model 3258,96,4542,11588,11,5.26,59.5
Nokia Model 3259,135,5995,18701,3,6.24,102.4
Sony Model 3260,127,5773,8011,4,4.5,10.1
Realme Model 3261,99,5144,14461,9,5.15,107.9
Apple Model 3262,127,4652,10954,7,7.01,59.0
Motorola Model 3263,100,3989,6891,15,7.03,97.5
Oppo Model 3264,123,4298,7749,13,5.32,19.3
Huawei Model 3265,133,5689,33838,16,5.18,44.1
Asus Model 3266,111,5270,14774,15,4.52,18.7
Nokia Model 3267,81,5592,16269,7,6.65,20.8
OnePlus Model 3268,90,5729,13087,6,4.74,80.4
Apple Model 3269,60,5445,12806,12,4.95,74.6
Samsung Model 3270,127,4095,24340,6,6.3,88.1
OnePlus Model 3271,60,5833,38173,12,4.95,69.0
Apple Model 3272,65,4045,13661,16,5.49,8.9
Apple Model 3273,104,3434,24048,7,4.62,105.2
Xiaomi Model 3274,101,5970,27294,6,6.9,31.9
Huawei Model 3275,141,4719,6645,8,6.42,82.9
Nokia Model 3276,72,4961,14150,16,4.97,75.9
Realme Model 3277,91,4513,10201,9,6.07,35.3
Xiaomi Model 3278,74,4300,31632,14,6.93,35.1
OnePlus Model 3279,139,3777,13126,16,6.69,59.8
Asus Model 3280,144,3911,18850,5,4.52,40.2
Xiaomi Model 3281,105,3966,4624,7,4.65,14.1
Nokia Model 3282,124,3703,28363,11,5.38,13.6
Google Model 3283,111,4289,7071,14,6.18,82.3
Huawei Model 3284,61,3528,38916,8,4.63,55.4
Oppo Model 3285,137,5253,38837,10,6.76,102.1
Nokia Model 3286,92,3887,18796,5,5.87,20.9
Samsung Model 3287,96,3635,14783,3,4.92,50.5
Sony Model 3288,71,3960,3757,12,4.52,100.0
Apple Model 3289,144,5745,17681,6,5.72,54.3
Oppo Model 3290,88,5362,25339,15,4.65,45.3
Nokia Model 3291,137,3307,31996,14,6.28,18.9
OnePlus Model 3292,68,5530,34015,12,6.2,28.9
Google Model 3293,98,5823,3312,3,4.54,41.6
Realme Model 3294,77,3897,39596,7,4.99,36.9
Motorola Model 3295,72,3893,15218,12,5.85,83.6
Oppo Model 3296,106,4180,31851,10,6.34,70.7
Motorola Model 3297,103,3421,5123,3,6.22,73.7
Google Model 3298,143,3281,4478,10,5.55,45.5
Google Model 3299,110,3623,6606,12,7.14,89.2
Xiaomi Model 3300,67,5067,19678,8,5.99,15.0
Asus Model 3301,143,4650,27987,7,7.02,37.1
Huawei Model 3302,143,3374,11225,3,5.86,92.5
Motorola Model 3303,61,4043,31242,6,4.52,8.5
Apple Model 3304,90,3946,33366,16,4.68,105.5
Oppo Model 3305,141,4635,34407,15,7.13,51.2
Realme Model 3306,69,3594,12157,6,6.07,14.4
OnePlus Model 3307,91,5807,39883,16,5.59,39.2
Google Model 3308,108,4427,23261,10,5.33,21.3
Oppo Model 3309,113,5744,22038,15,7.1,63.6
Apple Model 3310,89,4003,7156,3,5.92,75.9
Huawei Model 3311,127,3908,33966,5,5.05,99.2
Sony Model 3312,121,5437,27983,6,5.64,41.2
Xiaomi Model 3313,93,5744,27843,13,6.2,78.6
Nokia Model 3314,112,4126,33250,15,6.78,89.5
Motorola Model 3315,99,4668,25366,12,5.52,23.2
Oppo Model 3316,75,4194,8923,3,5.82,41.5
Motorola Model 3317,93,5551,36724,14,5.23,25.5
Sony Model 3318,77,5666,39356,3,7.18,83.0
OnePlus Model 3319,66,5312,15306,10,6.83,86.2
OnePlus Model 3320,83,3977,37867,10,4.53,94.1
Sony Model 3321,81,5987,28529,15,7.03,48.7
Motorola Model 3322,105,5052,32785,16,6.75,10.1
Huawei Model 3323,87,5808,37949,4,4.6,59.5
Huawei Model 3324,64,3415,25494,13,5.58,56.5
Realme Model 3325,98,3137,18209,6,5.64,18.1
Huawei Model 3326,114,4265,23002,9,5.3,44.6
Asus Model 3327,124,4008,36471,7,6.93,9.8
Realme Model 3328,108,3722,29246,5,6.82,24.6
Google Model 3329,83,4088,13905,13,4.79,95.1
Apple Model 3330,100,5761,6151,16,6.19,12.4
Asus Model 3331,86,5085,28320,8,4.93,64.7
Google Model 3332,77,5157,28651,9,6.82,53.4
Nokia Model 3333,87,4232,36529,15,4.59,100.6
Sony Model 3334,93,5819,39888,4,4.91,30.2
Xiaomi Model 3335,100,3315,21245,13,4.56,77.3
Realme Model 3336,65,3727,32869,3,4.82,100.9
Oppo Model 3337,130,3278,25119,15,6.99,12.7
OnePlus Model 3338,141,3857,6964,5,7.15,85.7
Apple Model 3339,63,4711,18866,4,5.36,42.1
Huawei Model 3340,79,4533,32380,14,6.1,64.5
Oppo Model 3341,100,4315,28424,7,7.11,86.1
Google Model 3342,77,4247,19956,9,6.02,17.4
Sony Model 3343,99,4809,24856,14,6.71,87.8
Oppo Model 3344,124,3927,3836,12,5.91,90.8
Xiaomi Model 3345,80,4675,4553,13,5.69,60.5
Sony Model 3346,82,3378,17141,5,5.39,74.1
Asus Model 3347,80,4762,21385,6,6.23,79.9
Motorola Model 3348,116,3387,35919,3,5.34,27.8
Realme Model 3349,125,3890,36193,8,6.13,63.2
Motorola Model 3350,70,4349,29565,4,5.17,42.8
Sony Model 3351,135,3346,12993,13,5.55,85.5
Motorola Model 3352,108,3135,11855,16,5.69,75.7
Apple Model 3353,81,4120,11404,5,5.93,18.5
Google Model 3354,140,5840,27783,7,4.71,72.3
Google Model 3355,130,5100,11491,9,7.01,16.1
Asus Model 3356,116,5578,35548,4,6.61,37.8
Oppo Model 3357,123,5696,25063,7,6.81,106.2
Google Model 3358,129,5714,13068,4,5.51,38.4
Huawei Model 3359,79,4834,28476,15,7.14,25.8
Oppo Model 3360,83,3750,22130,11,6.8,15.0
Samsung Model 3361,117,4476,24634,11,5.91,19.3
Huawei Model 3362,62,5792,8313,11,5.56,79.2
Asus Model 3363,131,3503,20106,11,6.63,92.3
Apple Model 3364,125,3758,14663,14,6.81,46.8
Xiaomi Model 3365,95,4838,33475,4,5.23,70.2
Huawei Model 3366,126,3810,38603,15,5.29,13.8
Xiaomi Model 3367,124,5819,14365,4,4.54,100.4
Asus Model 3368,95,4620,26433,16,6.08,88.5
Apple Model 3369,113,3528,18353,10,5.67,56.0
Nokia Model 3370,72,3936,11798,6,4.59,88.4
Sony Model 3371,130,4101,37636,16,7.09,107.9
Huawei Model 3372,63,3134,39942,4,5.93,51.1
OnePlus Model 3373,97,4508,19566,11,4.81,12.6
Motorola Model 3374,100,5172,14758,14,5.41,46.2
Realme Model 3375,130,4163,26380,3,5.03,37.9
Xiaomi Model 3376,120,5741,22990,10,6.04,17.5
Huawei Model 3377,128,4704,21017,6,5.59,97.6
Sony Model 3378,82,3930,35323,9,4.72,36.4
Nokia Model 3379,83,4010,12977,13,4.82,101.7
Huawei Model 3380,90,3444,39654,14,6.82,91.6
Motorola Model 3381,129,5560,16401,6,6.01,80.5
OnePlus Model 3382,82,5631,38914,4,5.8,19.7
Samsung Model 3383,110,5773,33519,15,5.18,59.9
Sony Model 3384,110,3408,31466,9,5.03,100.3
OnePlus Model 3385,143,5555,24814,4,6.05,97.5
Google Model 3386,115,5797,31536,9,6.26,105.2
Sony Model 3387,119,4905,17015,6,5.18,48.4
Oppo Model 3388,85,3958,4118,15,6.83,71.5
Apple Model 3389,97,3717,29415,10,6.55,68.7
Apple Model 3390,130,5278,3693,15,4.81,98.9
Nokia Model 3391,120,4944,6543,12,4.85,100.3
Google Model 3392,108,5485,36958,9,5.32,65.4
Nokia Model 3393,117,4156,18794,16,7.13,13.9
Motorola Model 3394,84,4482,16794,15,6.23,105.5
Samsung Model 3395,120,5119,19821,11,5.39,44.8
Realme Model 3396,94,3354,9576,12,6.58,75.0
Asus Model 3397,141,3706,29648,4,4.94,63.2
Xiaomi Model 3398,118,3864,3444,3,6.0,62.0
Realme Model 3399,115,5780,13499,6,4.76,79.1
Google Model 3400,101,3937,13755,4,5.56,9.3
Samsung Model 3401,89,5838,33041,9,4.82,63.4
Realme Model 3402,140,4334,26450,8,6.46,27.9
Google Model 3403,137,4977,24877,15,5.79,64.1
Xiaomi Model 3404,77,5065,38959,5,5.75,42.0
Xiaomi Model 3405,111,5879,11008,15,4.81,10.7
Nokia Model 3406,91,4152,26685,6,6.58,91.2
Xiaomi Model 3407,140,3818,36471,10,6.48,84.7
OnePlus Model 3408,103,4741,39817,7,4.68,45.4
Motorola Model 3409,61,4649,24978,16,6.83,100.7
Nokia Model 3410,112,3589,24076,15,5.42,45.5
Realme Model 3411,117,3565,28999,11,5.84,18.9
Nokia Model 3412,128,4635,21486,4,6.77,98.1
OnePlus Model 3413,131,3191,21345,7,5.65,82.9
Xiaomi Model 3414,81,3229,29860,15,6.5,50.9
Samsung Model 3415,127,3800,37800,8,5.77,54.7
Asus Model 3416,95,5606,20367,5,6.3,27.4
Samsung Model 3417,142,4665,23984,5,7.1,27.8
Xiaomi Model 3418,122,4019,4081,11,7.07,60.7
Realme Model 3419,130,3452,35735,14,4.69,8.8
Asus Model 3420,100,3290,4250,11,6.69,78.4
Google Model 3421,77,4165,22852,7,6.03,54.3
Apple Model 3422,109,3279,19477,9,5.39,46.1
Google Model 3423,133,5940,8535,15,6.29,39.0
Motorola Model 3424,69,4792,4657,8,6.22,68.8
Samsung Model 3425,85,3061,18584,14,6.34,31.7
Realme Model 3426,76,5248,33296,5,4.98,30.7
Samsung Model 3427,105,4574,7705,15,6.36,40.5
Oppo Model 3428,141,3816,27349,16,5.62,15.8
Xiaomi Model 3429,90,5220,5115,3,6.68,27.7
Google Model 3430,86,3797,24251,16,4.65,92.1
Motorola Model 3431,87,3365,25119,8,5.82,83.6
Sony Model 3432,69,4749,35411,10,5.41,86.6
Apple Model 3433,71,5550,31723,6,6.29,95.5
Oppo Model 3434,104,4568,5049,14,6.0,8.7
Apple Model 3435,133,3309,13815,5,4.87,29.7
Realme Model 3436,68,5234,29152,14,5.71,82.8
Huawei Model 3437,100,3295,26049,3,7.15,33.9
Asus Model 3438,76,5986,31419,3,5.05,48.6
Asus Model 3439,139,3431,36468,14,5.41,31.5
Samsung Model 3440,102,5890,24736,14,7.11,10.4
Nokia Model 3441,71,4605,14849,13,6.47,82.5
Motorola Model 3442,107,3535,18991,15,6.88,95.2
Google Model 3443,72,4843,26285,8,5.23,77.9
Oppo Model 3444,140,3147,28904,8,5.4,25.9
Apple Model 3445,89,4963,22520,5,5.85,25.4
Oppo Model 3446,134,3434,12175,8,4.82,99.8
Oppo Model 3447,99,3793,28264,8,6.59,101.8
Google Model 3448,62,4366,22310,6,4.58,29.7
Motorola Model 3449,136,4880,37283,12,5.19,75.4
Realme Model 3450,100,4734,29752,6,6.22,96.8
Google Model 3451,105,4837,29957,7,5.18,35.2
Huawei Model 3452,87,3165,6019,6,4.61,84.4
Realme Model 3453,98,5916,34181,5,4.74,20.5
Google Model 3454,133,4717,33189,7,6.21,42.7
Huawei Model 3455,109,3046,26482,7,5.04,31.7
Realme Model 3456,81,4430,31439,14,6.55,68.4
OnePlus Model 3457,68,4578,3545,14,6.2,82.2
Sony Model 3458,120,5483,11179,15,4.9,36.7
Samsung Model 3459,108,5898,16087,9,5.91,26.0
Motorola Model 3460,115,5325,27237,15,5.37,47.4
OnePlus Model 3461,73,4364,6573,13,4.87,27.5
Google Model 3462,138,3584,24152,11,4.78,11.0
Oppo Model 3463,106,3320,12956,15,4.52,61.9
OnePlus Model 3464,118,3905,21346,3,7.18,23.3
Asus Model 3465,119,4756,27321,14,4.96,66.1
Motorola Model 3466,91,3110,8652,5,6.59,53.6
Apple Model 3467,125,5853,9885,16,5.22,24.5
Google Model 3468,68,4675,19425,4,4.95,12.2
Oppo Model 3469,62,5710,24559,3,5.81,78.2
Oppo Model 3470,89,5402,25292,10,6.29,83.2
Sony Model 3471,103,3173,20212,16,6.75,47.8
Sony Model 3472,63,3519,11944,9,6.31,63.7
Asus Model 3473,124,5643,21214,6,5.63,103.4
Samsung Model 3474,127,3132,34424,9,6.94,25.6
Asus Model 3475,107,4632,35774,10,6.01,51.6
Nokia Model 3476,82,3327,30085,3,4.95,44.3
Apple Model 3477,127,3666,10748,12,5.4,42.9
Nokia Model 3478,95,5242,17111,4,6.92,36.6
Samsung Model 3479,81,4282,31976,4,5.69,80.1
Motorola Model 3480,63,4267,36031,12,5.49,99.2
Oppo Model 3481,119,4616,14840,7,7.04,31.7
Apple Model 3482,93,4321,22405,5,5.39,53.3
Oppo Model 3483,137,5651,4605,7,4.82,58.8
Oppo Model 3484,64,4811,6545,12,6.87,101.9
Google Model 3485,100,5776,9339,13,7.05,68.5
Google Model 3486,105,4790,6301,14,6.64,9.8
Nokia Model 3487,138,4488,36711,13,5.81,74.1
Asus Model 3488,143,3146,37790,9,5.18,75.9
Google Model 3489,76,5766,39324,16,5.56,87.1
Xiaomi Model 3490,72,4996,18347,11,6.67,16.4
Huawei Model 3491,60,4751,19867,7,4.73,90.8
Asus Model 3492,135,4619,39898,15,5.21,67.4
Sony Model 3493,126,5354,5721,10,5.09,82.8
Xiaomi Model 3494,98,3478,22275,15,5.4,10.7
Samsung Model 3495,93,3672,18744,8,5.11,56.8
Oppo Model 3496,127,5233,30377,8,5.6,84.4
Nokia Model 3497,94,5325,7973,16,4.61,21.2
Asus Model 3498,122,4620,8156,15,6.39,77.1
Xiaomi Model 3499,134,5945,29190,12,4.56,53.7
Nokia Model 3500,112,3424,15270,12,4.53,51.1
OnePlus Model 3501,133,3269,25241,12,6.01,16.1
Realme Model 3502,140,3386,11817,14,5.54,9.7
Nokia Model 3503,61,4835,33038,10,5.08,86.6
Oppo Model 3504,118,4846,23478,11,4.99,69.3
Realme Model 3505,111,4879,36685,7,5.17,13.2
Nokia Model 3506,138,3508,29423,4,5.28,102.3
Google Model 3507,133,5806,4106,12,6.88,59.4
Samsung Model 3508,64,4956,24797,9,5.11,21.9
Realme Model 3509,133,4422,24817,8,5.32,86.9
Motorola Model 3510,97,3743,5239,3,5.88,84.9
Xiaomi Model 3511,61,4465,22829,5,6.8,48.4
Google Model 3512,86,4023,14787,13,5.19,30.2
Nokia Model 3513,74,3778,22094,13,6.73,97.0
Oppo Model 3514,128,5707,22763,16,5.38,29.6
Xiaomi Model 3515,106,4851,22587,5,6.43,89.1
Xiaomi Model 3516,140,5375,9771,12,5.19,11.8
Samsung Model 3517,135,5254,6042,4,5.15,106.1
Huawei Model 3518,128,3428,8564,5,6.62,89.5
Samsung Model 3519,129,5255,11860,4,7.13,19.2
Apple Model 3520,92,5567,26779,12,5.36,87.4
Apple Model 3521,81,3797,17245,13,5.21,56.0
Samsung Model 3522,80,4787,3569,3,6.29,94.8
Sony Model 3523,66,3552,39439,6,5.63,85.5
Samsung Model 3524,119,4474,37132,4,5.48,101.4
Sony Model 3525,110,4818,25758,7,5.02,56.5
Nokia Model 3526,129,4267,23978,6,6.3,36.3
Xiaomi Model 3527,96,5995,32855,5,5.3,61.3
Nokia Model 3528,99,4192,3888,8,4.82,41.1
Oppo Model 3529,70,5572,8200,10,6.4,19.1
Samsung Model 3530,100,5438,27982,16,6.94,89.8
OnePlus Model 3531,91,5745,18538,15,5.06,49.4
Samsung Model 3532,138,4775,4473,7,6.47,21.6
Oppo Model 3533,116,4194,24688,7,4.6,17.6
Google Model 3534,127,4880,23689,9,6.53,102.8
Nokia Model 3535,129,5470,26160,11,5.63,25.1
Realme Model 3536,113,3727,16548,10,6.23,23.2
Xiaomi Model 3537,137,5908,8460,15,5.19,71.4
Realme Model 3538,126,4665,10831,10,6.13,40.2
Xiaomi Model 3539,116,3275,33650,12,5.71,72.8
Realme Model 3540,136,3591,9842,9,5.05,15.5
Huawei Model 3541,125,3581,23393,5,6.94,55.8
Realme Model 3542,101,5651,7592,14,6.31,24.0
Oppo Model 3543,66,4068,17995,3,5.26,34.8
Samsung Model 3544,60,3795,16321,11,6.5,47.8
Oppo Model 3545,142,5755,15342,8,6.38,11.9
Motorola Model 3546,70,4551,8990,15,5.13,106.4
Apple Model 3547,130,3511,18355,10,4.81,99.6
Apple Model 3548,138,3129,12717,8,6.1,92.9
Huawei Model 3549,133,4068,16753,10,4.53,102.6
Samsung Model 3550,78,5230,30865,9,4.74,9.9
Huawei Model 3551,66,5859,28450,11,5.67,92.7
Oppo Model 3552,63,4191,36895,7,6.0,44.3
OnePlus Model 3553,114,5195,5368,4,5.38,70.4
Samsung Model 3554,112,3002,16747,7,5.02,61.9
Oppo Model 3555,109,4208,18227,6,4.53,102.8
Sony Model 3556,106,3462,36017,7,5.2,74.7
Xiaomi Model 3557,117,4655,11407,6,6.37,34.4
Realme Model 3558,87,3259,36285,14,5.78,97.2
OnePlus Model 3559,70,4262,32455,10,5.69,11.4
Motorola Model 3560,129,5593,13437,14,5.37,28.1
Realme Model 3561,139,5187,25232,3,5.45,67.8
Realme Model 3562,96,4200,21142,11,7.07,25.1
Sony Model 3563,92,3947,36319,3,6.5,101.1
Huawei Model 3564,82,4914,9300,9,6.15,76.3
Asus Model 3565,60,3527,16108,8,4.55,92.2
Google Model 3566,95,4378,31819,8,4.83,68.2
Samsung Model 3567,133,3255,38683,3,6.79,86.6
Sony Model 3568,79,4297,38184,14,6.11,14.0
Oppo Model 3569,62,4303,8130,8,6.66,67.2
Nokia Model 3570,98,3629,26642,12,6.95,60.5
Motorola Model 3571,65,5672,17934,9,6.26,9.4
Realme Model 3572,63,4472,20118,11,5.68,28.6
Oppo Model 3573,92,4739,16985,3,5.73,42.9
Oppo Model 3574,116,4632,5160,13,6.03,99.4
Oppo Model 3575,105,5641,11289,4,6.46,81.3
Apple Model 3576,74,4446,13661,15,6.3,68.8
Asus Model 3577,141,5393,33545,4,5.19,89.2
Google Model 3578,100,5931,27245,11,5.19,81.9
Sony Model 3579,99,4737,24013,11,5.48,32.8
Motorola Model 3580,110,4656,17898,8,7.0,46.5
Oppo Model 3581,118,3035,30336,5,6.25,44.7
Google Model 3582,96,5340,30326,15,5.45,90.4
Nokia Model 3583,127,3660,28704,12,5.46,25.0
Oppo Model 3584,93,4034,12757,12,5.43,99.7
Nokia Model 3585,111,3210,27823,13,7.05,33.7
Google Model 3586,144,4805,12246,5,6.34,9.0
OnePlus Model 3587,121,4519,20353,8,6.11,105.7
Apple Model 3588,140,3128,5100,4,5.47,45.0
Nokia Model 3589,126,5173,19616,16,5.79,31.7
Sony Model 3590,136,3740,33816,5,6.53,104.6
Xiaomi Model 3591,125,5110,9550,14,6.7,36.1
Motorola Model 3592,144,5112,15354,12,6.39,61.9
Apple Model 3593,84,4695,16964,11,5.36,51.2
Sony Model 3594,105,5778,39260,16,4.7,68.5
Xiaomi Model 3595,73,3111,9313,10,6.56,10.7
Xiaomi Model 3596,97,3058,9125,11,5.0,85.7
Sony Model 3597,93,4104,17511,13,5.73,44.8
Nokia Model 3598,110,4850,23477,6,6.24,60.6
Google Model 3599,75,5281,7805,12,5.19,35.7
Nokia Model 3600,141,4926,33216,13,5.86,77.0
OnePlus Model 3601,64,3736,30126,14,6.11,89.3
OnePlus Model 3602,113,5919,13356,11,6.43,85.4
Motorola Model 3603,111,3144,12464,9,6.37,65.4
Apple Model 3604,142,3987,3029,15,6.93,10.3
OnePlus Model 3605,97,5002,22651,9,7.17,60.4
Oppo Model 3606,84,4651,27890,12,5.18,13.9
Asus Model 3607,80,5473,10660,12,5.04,59.9
Realme Model 3608,136,3676,11060,14,5.7,17.1
Xiaomi Model 3609,107,4279,21704,14,7.15,70.8
Huawei Model 3610,85,4074,13426,7,5.87,23.4
Google Model 3611,107,3897,18043,15,4.86,96.3
Samsung Model 3612,94,5296,12031,5,5.87,77.7
Nokia Model 3613,97,4045,5271,7,6.58,81.1
Google Model 3614,95,3255,38427,5,7.0,67.1
Apple Model 3615,61,4709,12497,8,6.72,79.2
Google Model 3616,81,5770,23618,11,7.04,34.3
Motorola Model 3617,73,3518,20453,7,6.55,46.0
Realme Model 3618,134,3713,32112,11,7.15,77.2
Xiaomi Model 3619,93,5000,20699,14,6.22,104.8
Apple Model 3620,92,3855,32588,11,4.91,102.5
Samsung Model 3621,129,4904,22683,12,4.58,47.9
Samsung Model 3622,121,3929,6797,16,6.37,94.5
Huawei Model 3623,97,4567,23763,3,7.06,29.2
OnePlus Model 3624,93,5033,24561,11,5.7,100.0
Apple Model 3625,71,3718,37839,6,6.68,63.2
Sony Model 3626,76,4659,18107,13,4.54,80.4
Sony Model 3627,101,5458,23672,5,5.92,20.5
Sony Model 3628,90,3254,33339,6,6.65,30.8
Realme Model 3629,86,3341,18142,4,6.39,78.9
Google Model 3630,136,3218,7112,7,4.63,105.5
Xiaomi Model 3631,117,5810,34567,6,5.27,35.3
Realme Model 3632,105,5402,23619,13,5.38,67.1
Samsung Model 3633,62,4790,12776,9,6.31,102.1
Apple Model 3634,80,5082,39614,4,6.84,14.4
Apple Model 3635,111,4290,11529,12,5.14,49.6
Oppo Model 3636,72,5961,17585,10,4.88,43.6
Realme Model 3637,74,4831,5973,3,5.24,48.6
Asus Model 3638,129,5718,30907,4,4.54,25.8
Nokia Model 3639,108,4463,7842,15,5.52,46.2
Oppo Model 3640,74,5648,34743,11,5.96,53.9
Huawei Model 3641,105,4642,6882,15,5.93,75.4
Nokia Model 3642,102,5119,3568,4,5.36,33.0
Huawei Model 3643,135,5817,13033,14,4.51,100.4
Nokia Model 3644,128,3370,26673,8,7.08,34.1
Oppo Model 3645,98,3616,24484,7,6.04,80.6
Samsung Model 3646,96,3183,27615,12,6.01,24.2
Nokia Model 3647,69,5144,9540,15,5.0,44.4
Realme Model 3648,115,4405,18485,5,5.47,103.7
Asus Model 3649,87,5952,20813,10,6.03,53.8
Nokia Model 3650,140,3995,34173,14,6.93,83.0
Asus Model 3651,128,5783,36407,6,4.92,62.0
Oppo Model 3652,121,3582,23239,8,6.85,88.5
Apple Model 3653,71,3654,8467,5,6.63,76.9
Motorola Model 3654,61,3442,4204,15,5.0,47.7
Google Model 3655,136,5318,23690,16,6.59,99.0
Asus Model 3656,93,5245,39877,5,5.68,95.1
Realme Model 3657,127,5175,30987,9,6.71,76.8
Realme Model 3658,85,3366,38739,3,6.8,88.0
OnePlus Model 3659,106,3700,31193,15,5.72,80.6
Huawei Model 3660,102,4507,26434,10,7.2,71.1
Sony Model 3661,78,5013,14405,4,7.04,16.3
Asus Model 3662,79,4998,5120,3,5.03,56.6
Apple Model 3663,86,3886,30130,5,5.44,48.1
Asus Model 3664,76,5562,13534,8,6.02,22.4
Samsung Model 3665,68,3045,31622,16,4.94,39.5
Motorola Model 3666,109,3575,14477,4,5.03,43.7
Sony Model 3667,96,4574,34589,11,5.02,56.4
Samsung Model 3668,141,4930,13531,3,6.69,13.7
OnePlus Model 3669,65,5871,37307,11,6.08,60.5
OnePlus Model 3670,79,4228,35672,16,5.02,72.9
Motorola Model 3671,109,4633,5017,12,4.68,62.3
Asus Model 3672,66,4488,36948,13,4.66,71.7
Samsung Model 3673,87,3871,17353,4,5.87,92.0
Asus Model 3674,96,3735,39392,8,4.67,102.0
Oppo Model 3675,96,5204,16117,11,7.1,88.1
Realme Model 3676,79,4613,12939,4,5.03,44.4
Asus Model 3677,77,5985,28772,8,4.55,47.8
Samsung Model 3678,84,3265,14109,13,6.04,40.5
Realme Model 3679,77,5030,24681,11,4.8,40.3
Apple Model 3680,131,5828,33813,11,6.58,63.0
OnePlus Model 3681,127,5434,24051,3,5.07,104.5
Google Model 3682,136,3201,8896,15,6.7,64.1
Asus Model 3683,107,4133,10656,9,5.07,23.4
Oppo Model 3684,68,3997,37320,11,6.49,87.5
Sony Model 3685,119,5331,26260,6,6.19,59.9
Realme Model 3686,70,3935,33720,11,5.66,63.3
Samsung Model 3687,144,5839,7633,15,6.48,80.9
Oppo Model 3688,122,3068,16911,8,5.51,90.0
Realme Model 3689,111,3078,7311,9,5.15,80.0
Apple Model 3690,84,4464,28477,12,4.63,39.4
Realme Model 3691,93,5169,28220,5,6.37,91.6
Asus Model 3692,72,3406,8239,8,6.04,80.2
Motorola Model 3693,138,3828,16130,16,6.97,47.4
Oppo Model 3694,92,4157,35779,10,6.84,70.7
Motorola Model 3695,144,3475,4581,10,5.62,73.8
Realme Model 3696,108,5986,4596,8,5.47,103.6
Xiaomi Model 3697,114,5401,6981,16,6.52,44.6
Xiaomi Model 3698,120,3124,24831,6,5.24,36.5
Samsung Model 3699,136,3777,8703,11,6.06,8.1
Motorola Model 3700,100,3251,14060,12,4.72,58.0
Samsung Model 3701,136,4566,27241,14,6.46,34.8
Nokia Model 3702,74,5649,18644,7,6.55,56.1
Sony Model 3703,114,5463,19191,4,6.56,73.0
Xiaomi Model 3704,88,5195,27088,14,4.66,77.8
Asus Model 3705,138,4847,20706,11,6.49,20.9
Oppo Model 3706,80,4517,18271,7,4.85,79.4
Sony Model 3707,86,5038,11749,6,6.21,55.4
Google Model 3708,136,5089,20275,16,5.19,42.9
Google Model 3709,127,4797,34922,12,4.51,42.0
OnePlus Model 3710,106,5773,11363,6,5.87,100.4
Asus Model 3711,140,4193,26610,13,5.17,41.7
Motorola Model 3712,93,3043,14139,12,6.68,28.2
Nokia Model 3713,138,5758,15744,4,6.72,52.8
Realme Model 3714,142,4899,35085,7,5.56,39.7
Samsung Model 3715,125,3407,6886,7,6.43,28.8
Asus Model 3716,106,5918,6770,10,5.84,11.0
Realme Model 3717,140,4038,19969,3,6.44,14.7
Realme Model 3718,84,3771,39300,13,6.26,11.9
Sony Model 3719,85,5521,29305,10,5.5,81.5
Nokia Model 3720,67,5495,24246,13,5.32,99.1
Realme Model 3721,81,5686,16765,14,6.56,65.1
Xiaomi Model 3722,98,5200,21126,12,6.29,39.1
